store,wk,event_name,users,hits
/popup/5621,2026-19,view_pass_store,64,67
/popup/7172,2026-22,view_pass_store,257,335
/popup/6485,2026-22,click_expand_spot_detail_images,386,403
/popup/4727,2026-22,view_pass_store,15,17
/popup/7095,2026-22,view_pass_store,86,94
/popup/7133,2026-22,click_expand_spot_detail_images,190,197
/popup/7063,2026-22,click_expand_spot_detail_images,54,54
/popup/2826,2026-03,view_pass_store,87,95
/popup/5280,2026-03,view_pass_store,67,90
/popup/6064,2026-14,click_expand_spot_detail_images,26,26
/popup/6851,2026-22,view_pass_store,83,113
/popup/6983,2026-22,view_pass_store,179,216
/popup/7276,2026-22,view_pass_store,34,38
/popup/6858,2026-22,view_pass_store,363,508
/popup/6947,2026-22,click_expand_spot_detail_images,204,244
/popup/7238,2026-22,view_pass_store,160,209
/popup/7250,2026-22,view_pass_store,28,31
/popup/4458,2025-44,view_pass_store,77,95
/popup/3135,2025-44,view_pass_store,73,77
/popup/4301,2025-44,view_pass_store,142,201
/popup/4393,2025-44,view_pass_store,113,152
/popup/7968,2026-30,click_expand_spot_detail_images,33,36
/popup/7720,2026-30,click_expand_spot_detail_images,129,150
/popup/7686,2026-26,click_expand_spot_detail_images,16,16
/popup/7503,2026-26,click_expand_spot_detail_images,77,83
/popup/7442,2026-26,click_expand_spot_detail_images,51,61
/popup/7450,2026-26,click_expand_spot_detail_images,171,178
/popup/4684,2025-47,click_expand_spot_detail_images,153,174
/popup/4675,2025-47,view_pass_store,156,205
/popup/4643,2025-47,view_pass_store,77,105
/popup/6188,2026-16,view_pass_store,226,304
/popup/6334,2026-16,view_pass_store,80,94
/popup/6352,2026-16,click_expand_spot_detail_images,62,65
/popup/6284,2026-16,view_pass_store,163,240
/popup/6332,2026-16,click_expand_spot_detail_images,107,114
/popup/4270,2025-44,view_pass_store,17,24
/popup/6369,2026-17,view_pass_store,339,506
/popup/5029,2026-17,view_pass_store,62,67
/popup/6083,2026-17,view_pass_store,1417,1670
/popup/6291,2026-17,view_pass_store,25,28
/popup/6368,2026-17,view_pass_store,56,66
/popup/5928,2026-17,view_pass_store,47,56
/popup/4271,2025-42,view_pass_store,25,36
/popup/2920,2025-42,view_pass_store,50,82
/popup/6946,2026-21,view_pass_store,28,30
/popup/6973,2026-21,click_expand_spot_detail_images,54,55
/popup/6485,2026-21,view_pass_store,1189,1398
/popup/7187,2026-21,view_pass_store,21,22
/popup/7070,2026-21,click_expand_spot_detail_images,18,18
/popup/6465,2026-21,view_pass_store,73,79
/popup/6398,2026-21,view_pass_store,25,29
/popup/2881,2026-21,view_pass_store,226,242
/popup/7562,2026-28,click_expand_spot_detail_images,22,25
/popup/6220,2026-15,view_pass_store,45,61
/popup/6078,2026-15,view_pass_store,88,120
/popup/6225,2026-15,view_pass_store,28,33
/popup/6125,2026-15,view_pass_store,16,19
/popup/6068,2026-14,view_pass_store,110,130
/popup/6077,2026-14,click_expand_spot_detail_images,96,113
/popup/6067,2026-14,view_pass_store,62,88
/popup/5213,2026-14,view_pass_store,41,48
/popup/6103,2026-14,view_pass_store,47,49
/popup/5032,2026-14,view_pass_store,73,95
/popup/6484,2026-18,view_pass_store,90,107
/popup/6547,2026-18,view_pass_store,495,713
/popup/6332,2026-18,click_expand_spot_detail_images,102,106
/popup/6429,2026-18,view_pass_store,175,210
/popup/6288,2026-18,view_pass_store,30,35
/popup/4560,2025-46,click_expand_spot_detail_images,40,42
/popup/4214,2025-46,click_expand_spot_detail_images,55,75
/popup/1670,2025-46,view_pass_store,19,22
/popup/4561,2025-46,click_expand_spot_detail_images,182,221
/popup/4401,2025-46,click_expand_spot_detail_images,84,90
/popup/5602,2026-19,view_pass_store,100,101
/popup/6344,2026-19,view_pass_store,51,62
/popup/6090,2026-19,view_pass_store,213,261
/popup/6878,2026-19,click_expand_spot_detail_images,45,46
/popup/4242,2025-42,kakao_queue,211,327
/popup/7538,2026-25,click_expand_spot_detail_images,307,383
/popup/7423,2026-25,click_expand_spot_detail_images,129,133
/popup/7817,2026-27,click_expand_spot_detail_images,47,49
/popup/7829,2026-27,click_expand_spot_detail_images,60,63
/popup/7303,2026-27,click_expand_spot_detail_images,43,45
/popup/7188,2026-22,view_pass_store,16,20
/popup/7221,2026-22,click_expand_spot_detail_images,25,25
/popup/7216,2026-22,view_pass_store,75,94
/popup/7785,2026-30,click_expand_spot_detail_images,87,110
/popup/7906,2026-30,click_expand_spot_detail_images,199,215
/popup/7194,2026-30,click_expand_spot_detail_images,156,167
/popup/4492,2025-47,view_pass_store,60,77
/popup/4728,2025-47,click_expand_spot_detail_images,110,119
/popup/4557,2025-47,view_pass_store,168,230
/popup/4731,2025-47,click_expand_spot_detail_images,43,43
/popup/7231,2026-23,click_expand_spot_detail_images,48,59
/popup/7172,2026-23,view_pass_store,214,274
/popup/7303,2026-23,view_pass_store,222,278
/popup/3559,2025-39,view_pass_store,18,21
/popup/4203,2026-08,view_pass_store,62,67
/popup/5551,2026-08,click_expand_spot_detail_images,180,196
/popup/5406,2026-08,view_pass_store,13,14
/popup/5455,2026-08,view_pass_store,2255,3248
/popup/4422,2025-44,view_pass_store,153,267
/popup/7277,2026-25,click_expand_spot_detail_images,16,16
/popup/7786,2026-29,click_expand_spot_detail_images,28,31
/popup/7914,2026-29,click_expand_spot_detail_images,62,72
/popup/4246,2025-43,view_pass_store,39,46
/popup/3135,2025-43,view_pass_store,61,67
/popup/6083,2026-20,view_pass_store,813,911
/popup/6322,2026-20,view_pass_store,1349,1558
/popup/5621,2026-20,view_pass_store,54,58
/popup/6542,2026-20,view_pass_store,294,379
/popup/7275,2026-22,view_pass_store,43,43
/popup/7147,2026-22,view_pass_store,131,164
/popup/6542,2026-22,click_expand_spot_detail_images,103,108
/popup/5003,2026-01,view_pass_store,156,194
/popup/5129,2026-01,view_pass_store,24,33
/popup/5075,2026-01,view_pass_store,11,18
/popup/5077,2026-01,view_pass_store,14,16
/popup/4666,2026-01,view_pass_store,86,111
/popup/4834,2026-01,view_pass_store,17,17
/popup/4366,2026-01,view_pass_store,36,42
/popup/5010,2025-52,click_expand_spot_detail_images,82,85
/popup/5082,2025-52,click_expand_spot_detail_images,58,62
/popup/4975,2025-52,view_pass_store,27,28
/popup/5066,2025-52,view_pass_store,27,32
/popup/4447,2025-52,click_expand_spot_detail_images,29,29
/popup/5082,2025-52,view_pass_store,85,106
/popup/4159,2026-08,view_pass_store,84,109
/popup/4575,2026-08,view_pass_store,32,34
/popup/5251,2026-08,view_pass_store,388,522
/popup/5431,2026-08,click_expand_spot_detail_images,38,38
/popup/5840,2026-13,view_pass_store,115,128
/popup/5971,2026-13,view_pass_store,137,186
/popup/3642,2025-35,kakao_queue,45,127
/popup/8049,2026-29,click_expand_spot_detail_images,33,38
/popup/7747,2026-29,click_expand_spot_detail_images,36,43
/popup/5947,2026-13,view_pass_store,278,469
/popup/5961,2026-13,click_expand_spot_detail_images,14,15
/popup/6009,2026-13,view_pass_store,51,60
/popup/5255,2026-03,view_pass_store,31,35
/popup/5082,2026-03,click_expand_spot_detail_images,49,50
/popup/2438,2026-03,view_pass_store,5,14
/popup/7167,2026-26,click_expand_spot_detail_images,17,17
/popup/7536,2026-26,click_expand_spot_detail_images,127,130
/popup/7647,2026-26,click_expand_spot_detail_images,30,35
/popup/7624,2026-26,click_expand_spot_detail_images,21,24
/popup/4667,2025-46,click_expand_spot_detail_images,23,28
/popup/4564,2025-46,view_pass_store,36,40
/popup/4630,2025-46,click_expand_spot_detail_images,122,152
/popup/4565,2025-46,click_expand_spot_detail_images,37,39
/popup/4443,2025-46,view_pass_store,17,21
/popup/6544,2026-20,view_pass_store,96,125
/popup/6978,2026-20,view_pass_store,145,179
/popup/6969,2026-20,kakao_queue,168,301
/popup/4924,2025-50,view_pass_store,180,213
/popup/388,2025-50,click_expand_spot_detail_images,15,15
/popup/4762,2025-50,view_pass_store,117,151
/popup/4215,2025-50,view_pass_store,11,24
/popup/7087,2026-21,view_pass_store,199,237
/popup/6947,2026-21,click_expand_spot_detail_images,341,389
/popup/6714,2026-21,click_expand_spot_detail_images,20,20
/popup/7100,2026-21,view_pass_store,22,28
/popup/7082,2026-21,view_pass_store,97,109
/popup/7093,2026-21,view_pass_store,43,53
/popup/8142,2026-30,click_expand_spot_detail_images,20,22
/popup/4783,2025-48,view_pass_store,53,64
/popup/4557,2025-48,view_pass_store,111,145
/popup/4421,2025-48,click_expand_spot_detail_images,122,132
/popup/2826,2025-48,view_pass_store,55,67
/popup/4887,2025-49,view_pass_store,95,119
/popup/4557,2025-49,view_pass_store,222,284
/popup/4907,2025-49,click_expand_spot_detail_images,47,54
/popup/4812,2025-49,view_pass_store,114,125
/popup/2522,2025-18,kakao_queue,456,632
/popup/6931,2026-19,view_pass_store,46,52
/popup/6435,2026-19,view_pass_store,138,216
/popup/6928,2026-19,view_pass_store,116,128
/popup/6186,2026-19,click_expand_spot_detail_images,18,18
/popup/6878,2026-19,view_pass_store,36,43
/popup/6490,2026-19,click_expand_spot_detail_images,33,34
/popup/6240,2026-19,view_pass_store,24,27
/popup/5929,2026-13,view_pass_store,27,32
/popup/5771,2026-13,view_pass_store,270,317
/popup/5251,2026-13,view_pass_store,181,222
/popup/5003,2026-01,click_expand_spot_detail_images,136,143
/popup/5132,2026-01,view_pass_store,171,207
/popup/4576,2026-01,click_expand_spot_detail_images,38,41
/popup/4924,2026-01,click_expand_spot_detail_images,75,79
/popup/4998,2026-02,view_pass_store,132,165
/popup/5161,2026-02,click_expand_spot_detail_images,113,121
/popup/5209,2026-02,view_pass_store,38,50
/popup/5197,2026-02,view_pass_store,168,197
/popup/5091,2026-02,view_pass_store,64,80
/popup/4664,2026-02,view_pass_store,16,16
/popup/4778,2025-49,click_expand_spot_detail_images,117,124
/popup/4718,2025-49,view_pass_store,32,35
/popup/4564,2025-49,view_pass_store,100,129
/popup/4750,2025-49,view_pass_store,239,256
/popup/5599,2026-07,click_expand_spot_detail_images,78,84
/popup/5455,2026-07,click_expand_spot_detail_images,614,688
/popup/4009,2026-07,view_pass_store,19,19
/popup/5251,2026-07,view_pass_store,401,557
/popup/7914,2026-28,click_expand_spot_detail_images,60,66
/popup/7066,2026-21,click_expand_spot_detail_images,43,49
/popup/6930,2026-21,click_expand_spot_detail_images,144,147
/popup/6971,2026-21,view_pass_store,141,178
/popup/7062,2026-21,view_pass_store,24,26
